UPDATE,NOUN,NN,compound
1-Indian,ADJ,JJ,amod
court,NOUN,NN,nsubj
refuses,VERB,VBZ,ROOT
lift,VERB,VB,xcomp
deadline,NOUN,NN,dobj
Kotak,PROPN,NNP,compound
Mahindra,PROPN,NNP,compound
stake,NOUN,NN,compound
dilution,NOUN,NN,compound
TV,NOUN,NN,pobj
Bank,PROPN,NNP,nsubj
surges,VERB,VBZ,ROOT
report,NOUN,NN,pobj
likely,ADJ,JJ,compound
Berkshire,ADJ,JJ,compound
investment,NOUN,NN,pobj
jumps,VERB,VBZ,ROOT
Berkshire,PROPN,NNP,compound
challenges,VERB,VBZ,ROOT
RBI,PROPN,NNP,compound
decision,NOUN,NN,dobj
preference,NOUN,NN,compound
shares,NOUN,NNS,pobj
Nifty,PROPN,NNP,advmod
|,|,PUNCT,|,|,punct
Sensex,PROPN,NNP,nsubj
rise,NOUN,NN,appos
sees,VERB,VBZ,ROOT
best,ADJ,JJS,amod
day,NOUN,NN,npadvmod
nearly,ADV,RB,advmod
9,NUM,CD,nummod
years,NOUN,NNS,pobj
High,PROPN,NNP,compound
Court,PROPN,NNP,nsubj
stay,VERB,VB,xcomp
Bank,PROPN,NNP,compound
dilution,NOUN,NN,pobj
CNBC,PROPN,NNP,compound
TV18,PROPN,NNP,ROOT
Deals,NOUN,NNS,ROOT
day,NOUN,NN,compound
Mergers,PROPN,NNPS,pobj
acquisitions,NOUN,NNS,conj
Expert,ADJ,JJ,compound
Views,NOUN,NNS,ROOT
In,ADP,IN,prep
surprise,NOUN,NN,compound
Governor,PROPN,NNP,compound
Urjit,PROPN,NNP,compound
Patel,PROPN,NNP,nsubj
steps,VERB,VBZ,ROOT
Morning,PROPN,NNP,compound
News,PROPN,NNP,compound
Call,PROPN,NNP,compound
India,PROPN,NNP,ROOT
December,PROPN,NNP,npadvmod
7,NUM,CD,nummod
Indian,ADJ,JJ,amod
shares,NOUN,NNS,nsubj
rise,VERB,VBP,ccomp
day,NOUN,NN,dobj
yrs,NOUN,NNS,pobj
